doc_id,Title,Author,year,journal,DOI,Url
JVZYJQRY,Gene trap mutagenesis: a functional genomics approach towards reproductive research,"Lee, Terrance; Shah, Chirag; Xu, Eugene Yujun",2007,MOLECULAR HUMAN REPRODUCTION,10.1093/molehr/gam069,
HRSBN349,"Phosphatidylinositol 4,5-Bisphosphate Hydrolysis in Human-Sperm Stimulated with Follicular-Fluid or Progesterone Is Dependent Upon Ca-2+ Influx","Thomas, P.; Meizel, S.",1989,BIOCHEMICAL JOURNAL,10.1042/bj2640539,
XPBC2DC2,"Evidence for an extreme bottleneck in a rare Mexican pinyon:: Genetic diversity, disequilibrium, and the mating system in <i>Pinus maximartinezii</i>","Ledig, F. T.; Conkle, M. T.; Bermejo-Velázquez, B.; Eguiluz-Piedra, T.; Hodgskiss, P. D.; Johnson, D. R.; Dvorak, W. S.",1999,EVOLUTION,10.1111/j.1558-5646.1999.tb05335.x,
RYZS58ZU,The <i>PEG13</i>-DMR and brain-specific enhancers dictate imprinted expression within the 8q24 intellectual disability risk locus,"Court, Franck; Camprubi, Cristina; Vicente Garcia, Cristina; Guillaumet-Adkins, Amy; Sparago, Angela; Seruggia, Davide; Sandoval, Juan; Esteller, Manel; Martin-Trujillo, Alex; Riccio, Andrea; Montoliu, Lluis; Monk, David",2014,EPIGENETICS & CHROMATIN,10.1186/1756-8935-7-5,
QNKDJUB9,Effect of N-Acetyl-D-Glucosamine on Bovine Sperm-Oocyte Interactions,"Sakaguchi, Yosuke; Iwata, Hisataka; Kuwayama, Takehito; Monji, Yasunori",2009,JOURNAL OF REPRODUCTION AND DEVELOPMENT,10.1262/jrd.09-59H,
CHU8JAYU,A High Incidence of Meiotic Silencing of Unsynapsed Chromatin Is Not Associated with Substantial Pachytene Loss in Heterozygous Male Mice Carrying Multiple Simple Robertsonian Translocations,"Manterola, Marcia; Page, Jesus; Vasco, Chiara; Berrios, Soledad; Teresa Parra, Maria; Viera, Alberto; Rufas, Julio S.; Zuccotti, Maurizio; Garagna, Silvia; Fernandez-Donoso, Raul",2009,PLoS GENETICS,10.1371/journal.pgen.1000625,
4EC2HQMX,Persistence of histone H2AX phosphorylation after meiotic chromosome synapsis and abnormal centromere cohesion in poly (ADP-ribose) polymerase (<i>Parp</i>-<i>1</i>) null oocytes,"Yang, Feikun; Baumann, Claudia; De la Fuente, Rabindranath",2009,DEVELOPMENTAL BIOLOGY,10.1016/j.ydbio.2009.05.550,
Q4QZPHLS,The evolution of parasites from their hosts: A case study in the parasitic red algae,"Goff, L. J.; Ashen, J.; Moon, D.",1997,EVOLUTION,10.2307/2411036,
WR997SJE,Expression of testicular angiotensin-converting enzyme in adult spontaneously hypertensive rats,"Atanassova, Nina; Lakova, Emilia; Bratchkova, Yordanka; Krasteva, Genka; Donchev, Miroslav",2009,FOLIA HISTOCHEMICA ET CYTOBIOLOGICA,10.2478/v10042-009-0002-6,
QJH399H4,Interspecific hybridization among <i>Hieracium</i> species in New Zealand:: evidence from flow cytometry,"Morgan-Richards, M.; Trewick, S. A.; Chapman, H. M.; Krahulcova, A.",2004,HEREDITY,10.1038/sj.hdy.6800476,
NKRTWR5Z,Inbreeding and Variance Effective Population Numbers,"Crow, Jf; Denniston, C.",1988,EVOLUTION,10.2307/2409033,
L6TU9ZIC,"Correlates of monoicy and dioicy in hornworts, the apparent sister group to vascular plants","Villarreal, Juan Carlos; Renner, Susanne S.",2013,BMC EVOLUTIONARY BIOLOGY,10.1186/1471-2148-13-239,
5KAHF9D9,Mosaic Epigenetic Dysregulation of Ectodermal Cells in Autism Spectrum Disorder,"Berko, Esther R.; Suzuki, Masako; Beren, Faygel; Lemetre, Christophe; Alaimo, Christine M.; Calder, R. Brent; Ballaban-Gil, Karen; Gounder, Batya; Kampf, Kaylee; Kirschen, Jill; Maqbool, Shahina B.; Momin, Zeineen; Reynolds, David M.; Russo, Natalie; Shulman, Lisa; Stasiek, Edyta; Tozour, Jessica; Valicenti-McDermott, Maria; Wang, Shenglong; Abrahams, Brett S.; Hargitai, Joseph; Inbar, Dov; Zhang, Zhengdong; Buxbaum, Joseph D.; Molholm, Sophie; Foxe, John J.; Marion, Robert W.; Auton, Adam; Greally, John M.",2014,PLoS GENETICS,10.1371/journal.pgen.1004402,
RK3VY682,One thousand initiated cycles of in vitro fertilization in women ≥40 years of age,"Lass, A.; Croucher, C.; Duffy, S.; Dawson, K.; Margara, R.; Winston, R. M. L.",1998,FERTILITY AND STERILITY,10.1016/S0015-0282(98)00353-7,
UWNUEN9A,Tissue remodeling: a mating-induced differentiation program for the <i>Drosophila</i> oviduct,"Kapelnikov, Anat; Rivlin, Patricia K.; Hoy, Ronald R.; Heifetz, Yael",2008,BMC DEVELOPMENTAL BIOLOGY,10.1186/1471-213X-8-114,
246IK49G,Transcriptome Analysis of the <i>Arabidopsis</i> Megaspore Mother Cell Uncovers the Importance of RNA Helicases for Plant Germline Development,"Schmidt, Anja; Wuest, Samuel E.; Vijverberg, Kitty; Baroux, Celia; Kleen, Daniela; Grossniklaus, Ueli",2011,PLoS BIOLOGY,10.1371/journal.pbio.1001155,
Y8KJ2RXW,Determination of glycosidase activity in porcine oviductal fluid at the different phases of the estrous cycle,"Cesar Carrasco, Luis; Romar, Raquel; Aviles, Manuel; Gadea, Joaquin; Coy, Pilar",2008,REPRODUCTION,10.1530/REP-08-0221,
R62JXI3I,"Spermatogonial Stem Cell Quest: <i>nanos2</i>, Marker of a Subpopulation of Undifferentiated A Spermatogonia in Trout Testis","Bellaiche, Johanna; Lareyre, Jean-Jacques; Cauty, Chantal; Yano, Ayaka; Allemand, Isabelle; Le Gac, Florence",2014,BIOLOGY OF REPRODUCTION,10.1095/biolreprod.113.116392,
D9KN5Y6K,Smurf-mediated differential proteolysis generates dynamic BMP signaling in germline stem cells during <i>Drosophila</i> testis development,"Chang, Yi-Jie; Pi, Haiwei; Hsieh, Chang-Che; Fuller, Margaret T.",2013,DEVELOPMENTAL BIOLOGY,10.1016/j.ydbio.2013.08.014,
NERMVZBC,Live Offspring from Mice Lacking the Y Chromosome Long Arm Gene Complement,"Yamauchi, Yasuhiro; Riel, Jonathan M.; Wong, Samantha J.; Ojarikre, Obah A.; Burgoyne, Paul S.; Ward, Monika A.",2009,BIOLOGY OF REPRODUCTION,10.1095/biolreprod.109.076307,
AYCQ6JBV,Cell Division in Apicomplexan Parasites Is Organized by a Homolog of the Striated Rootlet Fiber of Algal Flagella,"Francia, Maria E.; Jordan, Carly N.; Patel, Jay D.; Sheiner, Lilach; Demerly, Jessica L.; Fellows, Justin D.; de Leon, Jessica Cruz; Morrissette, Naomi S.; Dubremetz, Jean-Francois; Striepen, Boris",2012,PLoS BIOLOGY,10.1371/journal.pbio.1001444,
8H2M89UF,Dissimilar mispair-recognition spectra of <i>Arabidopsis</i> DNA-mismatch-repair proteins MSH2.MSH6 (MutSα) and MSH2.MSH7 (MutSγ),"Wu, S. Y.; Culligan, K.; Lamers, M.; Hays, J.",2003,NUCLEIC ACIDS RESEARCH,10.1093/nar/gkg780,
4JEWYFSN,Reinforcement of genetic coherence in a two-locus model,"Gregorius, Hans-Rolf; Steiner, Wilfried",2001,BMC EVOLUTIONARY BIOLOGY,10.1186/1471-2148-1-2,
BTQ2LJ65,Biopsy of embryos produced by <i>in vitro</i> fertilization affects development in C57BL/6 mouse strain,"Sugawara, Atsushi; Ward, Monika A.",2013,THERIOGENOLOGY,10.1016/j.theriogenology.2012.08.007,
6VUI6QTT,Multiple Opposing Constraints Govern Chromosome Interactions during Meiosis,"Lui, Doris Y.; Cahoon, Cori K.; Burgess, Sean M.",2013,PLoS GENETICS,10.1371/journal.pgen.1003197,
9TZCBNQY,Comparative Mitochondrial Genomics of Freshwater Mussels (Bivalvia: Unionoida) With Doubly Uniparental Inheritance of mtDNA: Gender-Specific Open Reading Frames and Putative Origins of Replication,"Breton, Sophie; Beaupre, Helene Doucet; Stewart, Donald T.; Piontkivska, Helen; Karmakar, Moumita; Bogan, Arthur E.; Blier, Pierre U.; Hoeh, Walter R.",2009,GENETICS,10.1534/genetics.109.110700,
